Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
Serena,Nissan,2014,Foreign Used,Automatic,69560,Mombasa,1500000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,82500,Mombasa,1950000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,90406,Mombasa,1900000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,54212,Mombasa,1300000,10,Petrol
Advan,Nissan,2011,Foreign Used,Automatic,125301,Nairobi,495000,13,Petrol
X-Trail,Nissan,2015,Foreign Used,Automatic,91457,Mombasa,2095000,9,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,76000,Mombasa,1700000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,79000,Mombasa,2800000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,62354,Mombasa,700000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,84000,Nairobi,660000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,63000,Nairobi,799000,9,Petrol
X-Trail,Nissan,2015,Foreign Used,Automatic,98848,Mombasa,2300000,9,Petrol
March,Nissan,2014,Foreign Used,Automatic,85000,Nairobi,670000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,75700,Mombasa,760000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,75000,Mombasa,730000,10,Petrol
Note,Nissan,2013,Foreign Used,Automatic,45213,Mombasa,850000,11,Petrol
Note,Nissan,2014,Foreign Used,Automatic,45213,Mombasa,750000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,97000,Mombasa,1280000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,78000,Mombasa,1350000,10,Petrol
Sylphy,Nissan,2013,Foreign Used,Automatic,56321,Mombasa,1150000,11,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,69400,Mombasa,2100000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,66000,Nairobi,1250000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,84000,Nairobi,660000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,28000,Mombasa,2300000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,70384,Kiambu,730000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,120000,Nairobi,1199000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,53200,Mombasa,735000,9,Petrol
Note,Nissan,2015,Foreign Used,Automatic,58855,Mombasa,790000,9,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,105000,Mombasa,1350000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,75000,Mombasa,780000,10,Petrol
Note,Nissan,2013,Foreign Used,Automatic,78000,Mombasa,800000,11,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,69974,Mombasa,850000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,57000,Nairobi,1030000,10,Petrol
